book_id,work_id,title,author_id,author_name,genre,pub_year,series,series_index,format
b_000000,w_00000,Drakenfell: Forest,a_0004,Peyton Brown,Historical,1996,,0,hardcover
b_000001,w_00000,Drakenfell: Forest,a_0004,Peyton Brown,Historical,1996,,0,paperback
b_000002,w_00001,The Sea of Nemoris,a_0264,Jordan Jones,Business,1980,,0,paperback
b_000003,w_00002,Autumn Mirror,a_0592,Rowan Martin,Romance,1999,,0,ebook
b_000004,w_00002,Autumn Mirror,a_0592,Rowan Martin,Romance,1999,,0,hardcover
b_000005,w_00002,Autumn Mirror,a_0592,Rowan Martin,Romance,1999,,0,paperback
b_000006,w_00003,The Code of Kynthos,a_0371,Logan Thompson,Science Fiction,2016,,0,hardcover
b_000007,w_00003,The Code of Kynthos,a_0371,Logan Thompson,Science Fiction,2016,,0,paperback
b_000008,w_00003,The Code of Kynthos,a_0371,Logan Thompson,Science Fiction,2016,,0,ebook
b_000009,w_00004,Silent Quest,a_0143,Peyton Moore,Poetry,2002,,0,hardcover
b_000010,w_00004,Silent Quest,a_0143,Peyton Moore,Poetry,2002,,0,paperback
b_000011,w_00005,Hidden Mirror,a_0415,Harper Smith,Self-Help,2022,,0,ebook
b_000012,w_00005,Hidden Mirror,a_0415,Harper Smith,Self-Help,2022,,0,paperback
b_000013,w_00005,Hidden Mirror,a_0415,Harper Smith,Self-Help,2022,,0,hardcover
b_000014,w_00006,The Star of Valeria,a_0101,Taylor Hall,Philosophy,1995,,0,ebook
b_000015,w_00006,The Star of Valeria,a_0101,Taylor Hall,Philosophy,1995,,0,hardcover
b_000016,w_00006,The Star of Valeria,a_0101,Taylor Hall,Philosophy,1995,,0,paperback
b_000017,w_00007,Nemoris: Empire,a_0015,Sam Lewis,Graphic Novels,2010,,0,hardcover
b_000018,w_00008,Aramoor: Chronicle,a_0442,Morgan Perez,Mystery,1993,,0,ebook
b_000019,w_00008,Aramoor: Chronicle,a_0442,Morgan Perez,Mystery,1993,,0,paperback
b_000020,w_00008,Aramoor: Chronicle,a_0442,Morgan Perez,Mystery,1993,,0,hardcover
b_000021,w_00009,Summer Legacy,a_0360,Sage Wright,Classics,2021,,0,ebook
b_000022,w_00010,Nemoris: Phoenix,a_0529,Jordan Davis,Business,2013,,0,hardcover
b_000023,w_00011,The Star of Veridian,a_0241,Quinn Smith,Poetry,2002,,0,hardcover
b_000024,w_00011,The Star of Veridian,a_0241,Quinn Smith,Poetry,2002,,0,paperback
b_000025,w_00012,The Labyrinth of Drakenfell (Book 1),a_0597,Riley King,Self-Help,2013,The Silver Sea Saga,1,ebook
b_000026,w_00012,The Labyrinth of Drakenfell (Book 1),a_0597,Riley King,Self-Help,2013,The Silver Sea Saga,1,hardcover
b_000027,w_00012,The Labyrinth of Drakenfell (Book 1),a_0597,Riley King,Self-Help,2013,The Silver Sea Saga,1,paperback
b_000028,w_00013,Eternal Throne (Book 2),a_0294,Kendall White,Business,2024,The Silver Sea Saga,2,paperback
b_000029,w_00014,Veridian: Blade (Book 3),a_0516,Drew Johnson,History,2011,The Silver Sea Saga,3,hardcover
b_000030,w_00015,Hidden Crown (Book 4),a_0070,Quinn White,Fantasy,2003,The Silver Sea Saga,4,hardcover
b_000031,w_00015,Hidden Crown (Book 4),a_0070,Quinn White,Fantasy,2003,The Silver Sea Saga,4,ebook
b_000032,w_00015,Hidden Crown (Book 4),a_0070,Quinn White,Fantasy,2003,The Silver Sea Saga,4,paperback
b_000033,w_00016,Solara: Quest (Book 5),a_0068,Casey Miller,History,2017,The Silver Sea Saga,5,hardcover
b_000034,w_00017,Burning Empire (Book 1),a_0547,Jordan Hall,Thriller,1995,The Crescent Empire Saga,1,paperback
b_000035,w_00017,Burning Empire (Book 1),a_0547,Jordan Hall,Thriller,1995,The Crescent Empire Saga,1,ebook
b_000036,w_00017,Burning Empire (Book 1),a_0547,Jordan Hall,Thriller,1995,The Crescent Empire Saga,1,hardcover
b_000037,w_00018,Valeria: Library (Book 2),a_0583,Sam Martinez,Mystery,2024,The Crescent Empire Saga,2,ebook
b_000038,w_00019,Kynthos: Mirror (Book 3),a_0659,Kendall Miller,Mystery,1996,The Crescent Empire Saga,3,ebook
b_000039,w_00019,Kynthos: Mirror (Book 3),a_0659,Kendall Miller,Mystery,1996,The Crescent Empire Saga,3,paperback
b_000040,w_00019,Kynthos: Mirror (Book 3),a_0659,Kendall Miller,Mystery,1996,The Crescent Empire Saga,3,hardcover
b_000041,w_00020,Valeria: Quest (Book 4),a_0227,Peyton Miller,Poetry,1983,The Crescent Empire Saga,4,ebook
b_000042,w_00020,Valeria: Quest (Book 4),a_0227,Peyton Miller,Poetry,1983,The Crescent Empire Saga,4,paperback
b_000043,w_00021,Valeria: Song (Book 5),a_0015,Sam Lewis,Young Adult,2003,The Crescent Empire Saga,5,paperback
b_000044,w_00021,Valeria: Song (Book 5),a_0015,Sam Lewis,Young Adult,2003,The Crescent Empire Saga,5,hardcover
b_000045,w_00022,Summer Empire (Book 6),a_0685,Jamie White,Young Adult,1991,The Crescent Empire Saga,6,hardcover
b_000046,w_00022,Summer Empire (Book 6),a_0685,Jamie White,Young Adult,1991,The Crescent Empire Saga,6,paperback
b_000047,w_00023,Valeria: Star (Book 7),a_0420,Riley Hernandez,Classics,2001,The Crescent Empire Saga,7,ebook
b_000048,w_00024,Aramoor: Prophecy,a_0172,Taylor King,Young Adult,2011,,0,ebook
b_000049,w_00024,Aramoor: Prophecy,a_0172,Taylor King,Young Adult,2011,,0,paperback
b_000050,w_00025,The Kingdom of Eldoria (Book 1),a_0534,Drew Lewis,Horror,1991,The Wicked Forest Saga,1,paperback
b_000051,w_00025,The Kingdom of Eldoria (Book 1),a_0534,Drew Lewis,Horror,1991,The Wicked Forest Saga,1,hardcover
b_000052,w_00025,The Kingdom of Eldoria (Book 1),a_0534,Drew Lewis,Horror,1991,The Wicked Forest Saga,1,ebook
b_000053,w_00026,The Mirror of Valeria (Book 2),a_0632,Logan Lopez,Science Fiction,1982,The Wicked Forest Saga,2,ebook
b_000054,w_00026,The Mirror of Valeria (Book 2),a_0632,Logan Lopez,Science Fiction,1982,The Wicked Forest Saga,2,paperback
b_000055,w_00026,The Mirror of Valeria (Book 2),a_0632,Logan Lopez,Science Fiction,1982,The Wicked Forest Saga,2,hardcover
b_000056,w_00027,The Secret of Veridian (Book 3),a_0199,Skyler Young,Business,1998,The Wicked Forest Saga,3,hardcover
b_000057,w_00027,The Secret of Veridian (Book 3),a_0199,Skyler Young,Business,1998,The Wicked Forest Saga,3,paperback
b_000058,w_00027,The Secret of Veridian (Book 3),a_0199,Skyler Young,Business,1998,The Wicked Forest Saga,3,ebook
b_000059,w_00028,Autumn Chronicle (Book 4),a_0538,Taylor White,History,2011,The Wicked Forest Saga,4,paperback
b_000060,w_00028,Autumn Chronicle (Book 4),a_0538,Taylor White,History,2011,The Wicked Forest Saga,4,hardcover
b_000061,w_00028,Autumn Chronicle (Book 4),a_0538,Taylor White,History,2011,The Wicked Forest Saga,4,ebook
b_000062,w_00029,Eldoria: Star (Book 5),a_0551,Morgan Davis,Mystery,2022,The Wicked Forest Saga,5,ebook
b_000063,w_00029,Eldoria: Star (Book 5),a_0551,Morgan Davis,Mystery,2022,The Wicked Forest Saga,5,paperback
b_000064,w_00029,Eldoria: Star (Book 5),a_0551,Morgan Davis,Mystery,2022,The Wicked Forest Saga,5,hardcover
b_000065,w_00030,Valeria: Garden,a_0351,Quinn Thomas,Self-Help,1984,,0,hardcover
b_000066,w_00030,Valeria: Garden,a_0351,Quinn Thomas,Self-Help,1984,,0,ebook
b_000067,w_00030,Valeria: Garden,a_0351,Quinn Thomas,Self-Help,1984,,0,paperback
b_000068,w_00031,Mythos: Prophecy,a_0442,Morgan Perez,Classics,1981,,0,paperback
b_000069,w_00032,Burning Crown,a_0188,Harper Scott,Fantasy,1989,,0,hardcover
b_000070,w_00033,Solara: Crown,a_0650,Cameron Taylor,Thriller,1998,,0,hardcover
b_000071,w_00033,Solara: Crown,a_0650,Cameron Taylor,Thriller,1998,,0,paperback
b_000072,w_00033,Solara: Crown,a_0650,Cameron Taylor,Thriller,1998,,0,ebook
b_000073,w_00034,The Mirror of Mythos,a_0688,Morgan Clark,Fantasy,1986,,0,hardcover
b_000074,w_00034,The Mirror of Mythos,a_0688,Morgan Clark,Fantasy,1986,,0,ebook
b_000075,w_00035,The Garden of Veridian,a_0686,Cameron Rodriguez,Romance,2018,,0,hardcover
b_000076,w_00036,Winter Sea,a_0515,Sage Martin,Science Fiction,1990,,0,paperback
b_000077,w_00036,Winter Sea,a_0515,Sage Martin,Science Fiction,1990,,0,ebook
b_000078,w_00036,Winter Sea,a_0515,Sage Martin,Science Fiction,1990,,0,hardcover
b_000079,w_00037,The River of Kynthos,a_0029,Sage Wright,Poetry,2017,,0,paperback
b_000080,w_00037,The River of Kynthos,a_0029,Sage Wright,Poetry,2017,,0,ebook
b_000081,w_00038,Burning Phoenix,a_0256,Harper Wilson,Young Adult,1992,,0,hardcover
b_000082,w_00039,Eldoria: Forest (Book 1),a_0311,Quinn Wright,Philosophy,1999,The Summer Crown Saga,1,hardcover
b_000083,w_00040,Solara: Forest (Book 2),a_0671,Morgan Moore,Classics,2023,The Summer Crown Saga,2,ebook
b_000084,w_00040,Solara: Forest (Book 2),a_0671,Morgan Moore,Classics,2023,The Summer Crown Saga,2,hardcover
b_000085,w_00040,Solara: Forest (Book 2),a_0671,Morgan Moore,Classics,2023,The Summer Crown Saga,2,paperback
b_000086,w_00041,The Garden of Eldoria (Book 3),a_0382,Taylor Martin,Horror,1994,The Summer Crown Saga,3,paperback
b_000087,w_00041,The Garden of Eldoria (Book 3),a_0382,Taylor Martin,Horror,1994,The Summer Crown Saga,3,ebook
b_000088,w_00041,The Garden of Eldoria (Book 3),a_0382,Taylor Martin,Horror,1994,The Summer Crown Saga,3,hardcover
b_000089,w_00042,The Song of Eldoria,a_0375,Skyler Davis,Young Adult,2003,,0,paperback
b_000090,w_00043,The Kingdom of Drakenfell,a_0102,Peyton Hall,Fantasy,2003,,0,hardcover
b_000091,w_00043,The Kingdom of Drakenfell,a_0102,Peyton Hall,Fantasy,2003,,0,ebook
b_000092,w_00044,Drakenfell: Legacy,a_0555,Quinn Anderson,Science Fiction,2010,,0,ebook
b_000093,w_00044,Drakenfell: Legacy,a_0555,Quinn Anderson,Science Fiction,2010,,0,hardcover
b_000094,w_00045,Mythos: River,a_0235,Peyton Wright,Horror,2017,,0,ebook
